,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,mean_shear_cat1_65,time_ts_cat1_65,E_MPI,distance
212,13,2018_BUD,"['ep032018', 'EP_03']",6.3632670000000005,12,4.9078445,24,12.7,120.0,5.016444833333333,144,5.9104265,24,6.3632670000000005,12,74.16509152335027,430.5382889271165
213,17,2018_ROSA,"['ep202018', 'EP_20']",5.340847,12,9.816604999999996,24,14.6,130.0,8.9552325,168,8.324685666666666,36,8.094949999999999,168,77.7251300114767,639.7484013005012
214,20,2018_HECTOR,"['ep102018', 'EP_10']",8.022029,12,9.58948533333333,36,13.0,135.0,7.37102309375,384,9.197621249999996,48,8.865906999999998,24,79.34953368102222,1387.4097743851257
215,9,2019_KIKO,"['ep132019', 'EP_13']",3.4394509999999983,12,3.124522749999998,48,15.9,115.0,4.4733160000000005,336,3.187508399999998,60,3.972406499999998,24,78.87357096605216,774.7186076525043
216,12,2019_ERICK,"['ep062019', 'EP_06']",5.210374000000002,12,5.706896250000001,48,11.5,115.0,14.548747955555552,270,5.607591800000001,60,5.210374000000002,12,76.67225490193057,2083.0799367726167
217,2,2020_DOUGLAS,"['ep082020', 'EP_08']",6.691356999999998,24,7.108908749999999,48,13.5,115.0,7.373334648648648,222,6.969724833333333,72,7.608991666666665,36,72.87068264844326,1595.428392813812
218,14,2020_GENEVIEVE,"['ep122020', 'EP_12']",6.7760500000000015,12,7.9071975,24,11.8,115.0,5.199692000000001,132,6.892407500000001,24,6.7760500000000015,12,83.22369277191551,469.4304318090284
219,6,2000_ISAAC,"['al132000', 'AL_13']",4.350472999999997,12,4.706539666666667,36,12.3,120.0,11.27884872,300,4.617522999999999,48,4.482471999999998,24,84.10613118600949,508.8432064911655
220,11,2000_KEITH,"['al152000', 'AL_15']",4.348565499999999,24,3.5237624999999984,24,17.4,120.0,6.839705999999999,168,3.936163999999999,48,6.625521,168,96.21571465609068,148.92577412492955
221,2,2001_IRIS,"['al112001', 'AL_11']",8.9349585,24,9.094552666666669,36,14.8,125.0,6.71922894117647,102,9.030715,60,9.2493145,48,85.488337925639,77.50808872086587
222,7,2001_FELIX,"['al072001', 'AL_07']",6.057113249999999,96,12.833507,36,18.6,100.0,13.083058866666669,180,7.905220636363635,132,8.959196466666667,180,82.1808651373462,1581.5425154127906
223,11,2001_ERIN,"['al062001', 'AL_06']",4.144462999999998,12,4.831599,168,13.2,105.0,5.9284841666666654,360,4.785789933333334,180,4.680147692307693,156,86.65265127591871,1470.2663590125333
224,13,2001_MICHELLE,"['al152001', 'AL_15']",4.9175346,60,3.272099666666667,36,15.8,120.0,16.10196678260869,138,4.3004965,96,4.151669111111111,108,92.9133492728754,27.002076339795316
225,7,2002_LILI,"['al132002', 'AL_13']",7.309387,36,7.2381228,180,12.1,125.0,7.369033695652174,276,7.250000166666666,216,7.998375999999999,60,88.79293635772262,707.2724479172034
226,11,2002_ISIDORE,"['al102002', 'AL_10']",7.259029,84,4.741383333333332,36,17.1,110.0,6.0051388947368425,228,6.5037353,120,6.1113135,168,94.69377246298986,306.94068770824674
227,14,2003_FABIAN,"['al102003', 'AL_10']",7.159457499999999,24,5.383829333333332,36,15.0,125.0,9.377848857142856,294,6.094080599999999,60,7.190613333333332,36,83.01016070040919,1239.125424358791
228,3,2004_JEANNE,"['al112004', 'AL_11']",6.377000999999998,24,6.048826222222221,54,16.4,105.0,9.117747866666663,360,6.159418833333333,72,6.163905999999999,42,81.86601589934149,0.0
229,6,2004_IVAN,"['al092004', 'AL_09']",6.199221999999999,12,8.25455325,48,9.7,145.0,10.849500541176472,510,7.843487000000001,60,6.953066,24,86.5054282333092,971.8218343936736
230,11,2004_CHARLEY,"['al032004', 'AL_03']",10.450658,24,8.766717,36,12.9,130.0,9.068683333333334,126,9.4402934,60,10.56231033333333,36,86.37895676556766,194.5911216279778
231,13,2004_KARL,"['al122004', 'AL_12']",4.335975999999999,12,5.441563,36,11.2,125.0,10.88453960869565,276,5.16516625,48,4.428298999999999,24,85.91497611768742,1027.1761109807471
